         sim	        time	        step	          pH	          pe	         Alk	      charge	     pct_err	          Ca	          Mg	          Na	          Cl	          Fe	        S(6)	       S(-2)	           C	  Pyrrhotite	d_Pyrrhotite	si_Chamosite(Daphnite)	si_Pyrrhotite	   si_Pyrite	si_Quartz(alpha)	si_Kaolinite	  si_Calcite	 si_Siderite	   k_Calcite	  dk_Calcite	k_Quartz(alpha)	dk_Quartz(alpha)	 k_Kaolinite	dk_Kaolinite	k_Chamosite(Daphnite)	dk_Chamosite(Daphnite)	  k_Siderite	 dk_Siderite	
           1	         -99	         -99	      7.1015	     -3.6887	   0.0239134	-4.16334e-17	-3.72241e-15	  7.8315e-03	  5.1655e-02	  5.0206e-01	  4.4430e-01	  6.1641e-08	  7.6412e-02	  3.1575e-03	  2.3491e-02	  0.0000e+00	  0.0000e+00	   -999.9990	     -0.3898	   -999.9990	   -999.9990	   -999.9990	      0.4544	     -2.8602	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	        3600	           1	      6.8207	    -3.35788	   0.0203171	 1.56353e-10	 1.40398e-08	  6.0329e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9367e-07	  7.6409e-02	  3.1430e-03	  2.1705e-02	  1.4028e-05	  1.4028e-05	    -18.4799	      0.0000	      9.8303	     -2.7745	     -1.4152	      0.0009	     -2.4150	  1.0180e-01	  1.7985e-03	  1.0000e+00	 -5.0725e-09	  1.0000e-01	 -1.6518e-08	  1.0000e-01	 -8.6409e-08	  9.9986e-02	 -1.3828e-05	  3.6000e+03	
           1	        7200	           2	     6.81985	    -3.35663	   0.0203141	 1.56354e-10	   1.404e-08	  6.0311e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9481e-07	  7.6409e-02	  3.1286e-03	  2.1717e-02	  2.8379e-05	  2.8379e-05	    -16.9896	      0.0000	      9.8295	     -2.4773	     -0.2300	      0.0000	     -2.4125	  1.0180e-01	  1.8003e-03	  1.0000e+00	 -1.0033e-08	  1.0000e-01	 -2.9277e-08	  1.0000e-01	 -1.7364e-07	  9.9972e-02	 -2.7744e-05	  7.2000e+03	
           1	       10800	           3	     6.81946	    -3.35592	   0.0203174	 1.56353e-10	 1.40399e-08	  6.0325e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9563e-07	  7.6409e-02	  3.1143e-03	  2.1733e-02	  4.2729e-05	  4.2729e-05	    -16.1845	     -0.0000	      9.8284	     -2.3154	      0.4043	     -0.0000	     -2.4101	  1.0180e-01	  1.7989e-03	  1.0000e+00	 -1.4983e-08	  1.0000e-01	 -2.9050e-08	  1.0000e-01	 -2.6088e-07	  9.9958e-02	 -4.1658e-05	  1.0800e+04	
           1	       14400	           4	     6.81909	    -3.35523	   0.0203211	 1.56352e-10	 1.40398e-08	  6.0341e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9644e-07	  7.6409e-02	  3.0999e-03	  2.1748e-02	  5.7076e-05	  5.7076e-05	    -15.6443	      0.0000	      9.8272	     -2.2062	      0.8262	     -0.0000	     -2.4076	  1.0180e-01	  1.7973e-03	  1.0000e+00	 -1.9925e-08	  1.0000e-01	 -1.8073e-08	  1.0000e-01	 -3.4814e-07	  9.9944e-02	 -5.5570e-05	  1.4400e+04	
           1	       18000	           5	     6.81873	    -3.35455	   0.0203247	 1.56353e-10	 1.40399e-08	  6.0357e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9725e-07	  7.6409e-02	  3.0856e-03	  2.1764e-02	  7.1421e-05	  7.1421e-05	    -15.2591	      0.0000	      9.8260	     -2.1273	      1.1233	     -0.0000	     -2.4052	  1.0180e-01	  1.7957e-03	  1.0000e+00	 -2.4860e-08	  1.0000e-01	  5.7051e-09	  1.0000e-01	 -4.3541e-07	  9.9931e-02	 -6.9480e-05	  1.8000e+04	
           1	       21600	           6	     6.81836	    -3.35386	   0.0203281	 1.56348e-10	 1.40394e-08	  6.0373e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9808e-07	  7.6409e-02	  3.0712e-03	  2.1779e-02	  8.5764e-05	  8.5764e-05	    -14.9721	      0.0000	      9.8248	     -2.0675	      1.3414	     -0.0000	     -2.4027	  1.0179e-01	  1.7941e-03	  1.0000e+00	 -2.9787e-08	  1.0000e-01	  4.1683e-08	  9.9999e-02	 -5.2268e-07	  9.9917e-02	 -8.3387e-05	  2.1600e+04	
           1	       25200	           7	       6.818	    -3.35318	   0.0203316	  1.5634e-10	 1.40387e-08	  6.0388e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9892e-07	  7.6409e-02	  3.0569e-03	  2.1795e-02	  1.0011e-04	  1.0011e-04	    -14.7508	      0.0000	      9.8236	     -2.0205	      1.5064	     -0.0000	     -2.4002	  1.0179e-01	  1.7925e-03	  1.0000e+00	 -3.4707e-08	  1.0000e-01	  8.8404e-08	  9.9999e-02	 -6.0998e-07	  9.9903e-02	 -9.7293e-05	  2.5200e+04	
           1	       28800	           8	     6.81764	    -3.35249	   0.0203349	 1.56342e-10	 1.40388e-08	  6.0404e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9977e-07	  7.6409e-02	  3.0426e-03	  2.1810e-02	  1.1444e-04	  1.1444e-04	    -14.5758	      0.0000	      9.8224	     -1.9823	      1.6339	     -0.0000	     -2.3978	  1.0179e-01	  1.7909e-03	  1.0000e+00	 -3.9622e-08	  1.0000e-01	  1.4432e-07	  9.9999e-02	 -6.9728e-07	  9.9889e-02	 -1.1120e-04	  2.8800e+04	
           1	       32400	           9	     6.81728	    -3.35181	   0.0203382	  1.5634e-10	 1.40386e-08	  6.0420e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0063e-07	  7.6409e-02	  3.0282e-03	  2.1826e-02	  1.2878e-04	  1.2878e-04	    -14.4346	      0.0000	      9.8212	     -1.9506	      1.7341	     -0.0000	     -2.3953	  1.0179e-01	  1.7894e-03	  1.0000e+00	 -4.4532e-08	  1.0000e-01	  2.0802e-07	  9.9999e-02	 -7.8459e-07	  9.9875e-02	 -1.2510e-04	  3.2400e+04	
