         sim	        time	        step	          pH	          pe	         Alk	      charge	     pct_err	          Ca	          Mg	          Na	          Cl	          Fe	        S(6)	       S(-2)	           C	  Pyrrhotite	d_Pyrrhotite	     Calcite	   d_Calcite	k_Quartz(alpha)	dk_Quartz(alpha)	 k_Kaolinite	dk_Kaolinite	k_Chamosite(Daphnite)	dk_Chamosite(Daphnite)	  k_Siderite	 dk_Siderite	
           1	         -99	         -99	      7.1015	     -3.6887	   0.0239134	-4.16334e-17	-3.72241e-15	  7.8315e-03	  5.1655e-02	  5.0206e-01	  4.4430e-01	  6.1641e-08	  7.6412e-02	  3.1575e-03	  2.3491e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	        3600	           1	      6.8202	    -3.35729	     0.02031	 1.06481e-10	 9.56164e-09	  6.0293e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9405e-07	  7.6409e-02	  3.1429e-03	  2.1702e-02	  1.4126e-05	  1.4126e-05	  1.0180e-01	  1.8020e-03	  1.0000e+00	 -4.9693e-09	  1.0000e-01	 -1.6521e-08	  1.0000e-01	 -8.7221e-08	  9.9986e-02	 -1.3923e-05	
           1	        7200	           2	     6.81983	    -3.35661	   0.0203139	 2.06071e-10	 1.85044e-08	  6.0309e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9483e-07	  7.6409e-02	  3.1285e-03	  2.1717e-02	  2.8482e-05	  2.8482e-05	  1.0180e-01	  1.8004e-03	  1.0000e+00	 -9.9290e-09	  1.0000e-01	 -2.9209e-08	  1.0000e-01	 -1.7445e-07	  9.9972e-02	 -2.7843e-05	
           1	       10800	           3	     6.81947	    -3.35592	   0.0203176	 2.06065e-10	 1.85039e-08	  6.0326e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9563e-07	  7.6409e-02	  3.1142e-03	  2.1733e-02	  4.2836e-05	  4.2836e-05	  1.0180e-01	  1.7988e-03	  1.0000e+00	 -1.4879e-08	  1.0000e-01	 -2.9276e-08	  1.0000e-01	 -2.6170e-07	  9.9958e-02	 -4.1761e-05	
           1	       14400	           4	      6.8191	    -3.35524	   0.0203213	 2.06087e-10	 1.85058e-08	  6.0342e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9644e-07	  7.6409e-02	  3.0998e-03	  2.1749e-02	  5.7187e-05	  5.7187e-05	  1.0180e-01	  1.7972e-03	  1.0000e+00	 -1.9822e-08	  1.0000e-01	 -1.8402e-08	  1.0000e-01	 -3.4895e-07	  9.9944e-02	 -5.5677e-05	
           1	       18000	           5	     6.81873	    -3.35455	   0.0203248	  4.9595e-12	 4.45343e-10	  6.0358e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9725e-07	  7.6409e-02	  3.0855e-03	  2.1764e-02	  7.1537e-05	  7.1537e-05	  1.0180e-01	  1.7956e-03	  1.0000e+00	 -2.4755e-08	  1.0000e-01	  3.6731e-09	  1.0000e-01	 -4.3622e-07	  9.9930e-02	 -6.9591e-05	
           1	       21600	           6	     6.81837	    -3.35387	   0.0203283	 3.37832e-12	 3.03358e-10	  6.0373e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9808e-07	  7.6409e-02	  3.0711e-03	  2.1780e-02	  8.5884e-05	  8.5884e-05	  1.0179e-01	  1.7940e-03	  1.0000e+00	 -2.9682e-08	  1.0000e-01	  4.0532e-08	  9.9999e-02	 -5.2350e-07	  9.9916e-02	 -8.3503e-05	
           1	       25200	           7	     6.81801	    -3.35318	   0.0203317	  9.5955e-11	 8.61634e-09	  6.0389e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9892e-07	  7.6409e-02	  3.0568e-03	  2.1795e-02	  1.0023e-04	  1.0023e-04	  1.0179e-01	  1.7924e-03	  1.0000e+00	 -3.4604e-08	  1.0000e-01	  9.0488e-08	  9.9999e-02	 -6.1079e-07	  9.9903e-02	 -9.7412e-05	
           1	       28800	           8	     6.81765	     -3.3525	    0.020335	-1.81014e-13	-1.62542e-11	  6.0405e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  2.9977e-07	  7.6409e-02	  3.0424e-03	  2.1810e-02	  1.1457e-04	  1.1457e-04	  1.0179e-01	  1.7909e-03	  1.0000e+00	 -3.9520e-08	  1.0000e-01	  1.4827e-07	  9.9999e-02	 -6.9809e-07	  9.9889e-02	 -1.1132e-04	
           1	       32400	           9	     6.81728	    -3.35181	   0.0203383	-4.86018e-13	-4.36421e-11	  6.0421e-03	  5.1654e-02	  5.0205e-01	  4.4429e-01	  3.0063e-07	  7.6409e-02	  3.0281e-03	  2.1826e-02	  1.2891e-04	  1.2891e-04	  1.0179e-01	  1.7893e-03	  1.0000e+00	 -4.4428e-08	  1.0000e-01	  2.1269e-07	  9.9999e-02	 -7.8540e-07	  9.9875e-02	 -1.2522e-04	
