         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	       m_NaX	      m_CaX2	      m_MgX2	      la_NaX	     la_CaX2	     la_MgX2	
           3	      i_soln	           1	         -99	         -99	         -99	           7	           4	      25.000	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -1.0000e+03	 -1.0000e+03	 -1.0000e+03	
           3	      i_exch	           1	         -99	         -99	         -99	           7	           4	      25.000	  5.7501e-04	  2.5679e-02	  4.0338e-03	 -2.0517e+00	 -1.9881e-01	 -1.0011e+00	
           3	       react	           1	         -99	           0	           1	           7	           4	      25.000	  5.7501e-04	  2.5679e-02	  4.0338e-03	 -2.0517e+00	 -1.9881e-01	 -1.0011e+00	
           3	       react	           1	         -99	           0	           2	     6.91057	    -1.46699	      30.000	  5.6649e-04	  2.5682e-02	  4.0349e-03	 -2.0585e+00	 -1.9982e-01	 -1.0020e+00	
           3	       react	           1	         -99	           0	           3	     6.82614	    -1.42387	      35.000	  5.5827e-04	  2.5685e-02	  4.0359e-03	 -2.0651e+00	 -2.0089e-01	 -1.0030e+00	
           3	       react	           1	         -99	           0	           4	     6.74625	     -1.3891	      40.000	  5.5034e-04	  2.5688e-02	  4.0370e-03	 -2.0716e+00	 -2.0202e-01	 -1.0041e+00	
           3	       react	           1	         -99	           0	           5	      6.6705	    -1.19666	      45.000	  5.4270e-04	  2.5691e-02	  4.0380e-03	 -2.0780e+00	 -2.0320e-01	 -1.0052e+00	
           3	       react	           1	         -99	           0	           6	     6.59853	    -1.16463	      50.000	  5.3533e-04	  2.5693e-02	  4.0390e-03	 -2.0843e+00	 -2.0444e-01	 -1.0063e+00	
           3	       react	           1	         -99	           0	           7	        6.53	    -1.14123	      55.000	  5.2823e-04	  2.5696e-02	  4.0400e-03	 -2.0904e+00	 -2.0573e-01	 -1.0075e+00	
           3	       react	           1	         -99	           0	           8	     6.46463	    -1.11803	      60.000	  5.2137e-04	  2.5698e-02	  4.0410e-03	 -2.0965e+00	 -2.0708e-01	 -1.0088e+00	
           3	       react	           1	         -99	           0	           9	     6.40218	    -1.10367	      65.000	  5.1476e-04	  2.5701e-02	  4.0420e-03	 -2.1024e+00	 -2.0848e-01	 -1.0101e+00	
           3	       react	           1	         -99	           0	          10	     6.34241	    -1.09304	      70.000	  5.0839e-04	  2.5703e-02	  4.0429e-03	 -2.1082e+00	 -2.0994e-01	 -1.0115e+00	
           3	       react	           1	         -99	           0	          11	     6.28511	   -0.909929	      75.000	  5.0223e-04	  2.5705e-02	  4.0438e-03	 -2.1139e+00	 -2.1145e-01	 -1.0129e+00	
           3	       react	           1	         -99	           0	          12	     6.23011	   -0.862411	      80.000	  4.9629e-04	  2.5707e-02	  4.0447e-03	 -2.1194e+00	 -2.1302e-01	 -1.0144e+00	
           3	       react	           1	         -99	           0	          13	     6.17722	   -0.687542	      85.000	  4.9056e-04	  2.5709e-02	  4.0455e-03	 -2.1249e+00	 -2.1465e-01	 -1.0160e+00	
           3	       react	           1	         -99	           0	          14	     6.12629	   -0.638633	      90.000	  4.8502e-04	  2.5711e-02	  4.0463e-03	 -2.1303e+00	 -2.1633e-01	 -1.0176e+00	
