         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	           K	          Ca	        m_K+	      m_Ca+2	        m_KX	      m_CaX2	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	   0.0500001	  1.0000e-01	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           1	     6.99609	     10.9292	   0.0521108	  9.5779e-02	  2.1107e-03	  9.5779e-02	  2.1107e-03	  3.7922e-01	  1.0389e-02	
           1	       react	           1	         -99	           0	           2	     6.99219	     10.9329	   0.0542882	  9.1424e-02	  4.2881e-03	  9.1424e-02	  4.2881e-03	  3.5858e-01	  2.0712e-02	
           1	       react	           1	         -99	           0	           3	     6.98834	     10.9368	    0.056526	  8.6948e-02	  6.5259e-03	  8.6948e-02	  6.5259e-03	  3.3805e-01	  3.0974e-02	
           1	       react	           1	         -99	           0	           4	     6.98453	     10.9407	   0.0588186	  8.2363e-02	  8.8185e-03	  8.2363e-02	  8.8185e-03	  3.1764e-01	  4.1182e-02	
           1	       react	           1	         -99	           0	           5	     6.98077	     10.9445	   0.0611608	  7.7679e-02	  1.1161e-02	  7.7679e-02	  1.1161e-02	  2.9732e-01	  5.1339e-02	
           1	       react	           1	         -99	           0	           6	     6.97707	     10.9485	    0.063548	  7.2904e-02	  1.3548e-02	  7.2904e-02	  1.3548e-02	  2.7710e-01	  6.1452e-02	
           1	       react	           1	         -99	           0	           7	     6.97343	     10.9526	   0.0659761	  6.8048e-02	  1.5976e-02	  6.8048e-02	  1.5976e-02	  2.5695e-01	  7.1524e-02	
           1	       react	           1	         -99	           0	           8	     6.96986	     10.9565	   0.0684414	  6.3117e-02	  1.8441e-02	  6.3117e-02	  1.8441e-02	  2.3688e-01	  8.1559e-02	
           1	       react	           1	         -99	           0	           9	     6.96636	     10.9602	   0.0709406	  5.8119e-02	  2.0940e-02	  5.8119e-02	  2.0940e-02	  2.1688e-01	  9.1560e-02	
           1	       react	           1	         -99	           0	          10	     6.96292	     10.9644	   0.0734707	  5.3059e-02	  2.3471e-02	  5.3059e-02	  2.3471e-02	  1.9694e-01	  1.0153e-01	
           1	       react	           1	         -99	           0	          11	     6.95955	     10.9695	    0.076029	  4.7942e-02	  2.6029e-02	  4.7942e-02	  2.6029e-02	  1.7706e-01	  1.1147e-01	
           1	       react	           1	         -99	           0	          12	     6.95625	     10.9696	   0.0786132	  4.2774e-02	  2.8613e-02	  4.2774e-02	  2.8613e-02	  1.5723e-01	  1.2139e-01	
           1	       react	           1	         -99	           0	          13	     6.95301	     10.9728	   0.0812212	  3.7558e-02	  3.1221e-02	  3.7558e-02	  3.1221e-02	  1.3744e-01	  1.3128e-01	
           1	       react	           1	         -99	           0	          14	     6.94984	     10.9762	   0.0838509	  3.2298e-02	  3.3851e-02	  3.2298e-02	  3.3851e-02	  1.1770e-01	  1.4115e-01	
           1	       react	           1	         -99	           0	          15	     6.94674	     10.9791	   0.0865006	  2.6999e-02	  3.6501e-02	  2.6999e-02	  3.6500e-02	  9.8001e-02	  1.5100e-01	
           1	       react	           1	         -99	           0	          16	      6.9437	     10.9824	   0.0891688	  2.1663e-02	  3.9169e-02	  2.1663e-02	  3.9169e-02	  7.8337e-02	  1.6083e-01	
           1	       react	           1	         -99	           0	          17	     6.94072	     10.9855	   0.0918541	  1.6292e-02	  4.1854e-02	  1.6292e-02	  4.1854e-02	  5.8708e-02	  1.7065e-01	
           1	       react	           1	         -99	           0	          18	     6.93779	     10.9886	   0.0945552	  1.0890e-02	  4.4555e-02	  1.0890e-02	  4.4555e-02	  3.9110e-02	  1.8044e-01	
           1	       react	           1	         -99	           0	          19	     6.93493	     10.9908	   0.0972708	  5.4585e-03	  4.7271e-02	  5.4585e-03	  4.7271e-02	  1.9542e-02	  1.9023e-01	
           1	       react	           1	         -99	           0	          20	     6.93212	     10.9944	         0.1	  4.8596e-16	  5.0000e-02	  4.8596e-16	  5.0000e-02	  1.7345e-15	  2.0000e-01	
