         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	           K	          Ca	        m_K+	      m_Ca+2	        m_KX	      m_CaX2	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	   0.0500001	  1.0000e-01	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           1	     6.99858	     11.2635	   0.0507582	  9.8484e-02	  7.5812e-04	  9.8484e-02	  7.5812e-04	  3.7652e-01	  1.1742e-02	
           1	       react	           1	         -99	           0	           2	     6.99542	     11.2647	   0.0524769	  9.5046e-02	  2.4768e-03	  9.5046e-02	  2.4768e-03	  3.5495e-01	  2.2523e-02	
           1	       react	           1	         -99	           0	           3	     6.99105	     11.2666	   0.0549461	  9.0108e-02	  4.9460e-03	  9.0108e-02	  4.9460e-03	  3.3489e-01	  3.2554e-02	
           1	       react	           1	         -99	           0	           4	     6.98591	     11.2693	   0.0579807	  8.4039e-02	  7.9806e-03	  8.4039e-02	  7.9806e-03	  3.1596e-01	  4.2019e-02	
           1	       react	           1	         -99	           0	           5	      6.9804	     11.2725	   0.0613987	  7.7203e-02	  1.1399e-02	  7.7203e-02	  1.1399e-02	  2.9780e-01	  5.1101e-02	
           1	       react	           1	         -99	           0	           6	     6.97482	      11.276	   0.0650405	  6.9919e-02	  1.5040e-02	  6.9919e-02	  1.5040e-02	  2.8008e-01	  5.9960e-02	
           1	       react	           1	         -99	           0	           7	     6.96939	     11.2794	   0.0687761	  6.2448e-02	  1.8776e-02	  6.2448e-02	  1.8776e-02	  2.6255e-01	  6.8724e-02	
           1	       react	           1	         -99	           0	           8	     6.96422	       11.18	   0.0725039	  5.4992e-02	  2.2504e-02	  5.4992e-02	  2.2504e-02	  2.4501e-01	  7.7496e-02	
           1	       react	           1	         -99	           0	           9	      6.9594	     11.1832	   0.0761458	  4.7709e-02	  2.6146e-02	  4.7709e-02	  2.6146e-02	  2.2729e-01	  8.6354e-02	
           1	       react	           1	         -99	           0	          10	     6.95496	     11.1863	   0.0796424	  4.0715e-02	  2.9642e-02	  4.0715e-02	  2.9642e-02	  2.0928e-01	  9.5358e-02	
           1	       react	           1	         -99	           0	          11	     6.95092	     11.1891	   0.0829488	  3.4103e-02	  3.2949e-02	  3.4103e-02	  3.2949e-02	  1.9090e-01	  1.0455e-01	
           1	       react	           1	         -99	           0	          12	     6.94728	     11.2954	   0.0860306	  2.7939e-02	  3.6031e-02	  2.7939e-02	  3.6030e-02	  1.7206e-01	  1.1397e-01	
           1	       react	           1	         -99	           0	          13	     6.94404	     11.2978	   0.0888619	  2.2276e-02	  3.8862e-02	  2.2276e-02	  3.8862e-02	  1.5272e-01	  1.2364e-01	
           1	       react	           1	         -99	           0	          14	     6.94119	     11.2999	   0.0914221	  1.7156e-02	  4.1422e-02	  1.7156e-02	  4.1422e-02	  1.3284e-01	  1.3358e-01	
           1	       react	           1	         -99	           0	          15	     6.93872	     11.3018	   0.0936947	  1.2611e-02	  4.3695e-02	  1.2611e-02	  4.3695e-02	  1.1239e-01	  1.4381e-01	
           1	       react	           1	         -99	           0	          16	     6.93662	     11.3037	   0.0956643	  8.6716e-03	  4.5664e-02	  8.6716e-03	  4.5664e-02	  9.1328e-02	  1.5434e-01	
           1	       react	           1	         -99	           0	          17	     6.93489	     11.2021	   0.0973149	  5.3704e-03	  4.7315e-02	  5.3704e-03	  4.7315e-02	  6.9630e-02	  1.6519e-01	
           1	       react	           1	         -99	           0	          18	     6.93353	     11.1105	   0.0986248	  2.7505e-03	  4.8625e-02	  2.7505e-03	  4.8625e-02	  4.7250e-02	  1.7638e-01	
           1	       react	           1	         -99	           0	          19	     6.93258	     10.9936	   0.0995567	  8.8670e-04	  4.9557e-02	  8.8670e-04	  4.9557e-02	  2.4113e-02	  1.8794e-01	
           1	       react	           1	         -99	           0	          20	     6.93212	     10.9939	         0.1	  6.8229e-25	  5.0000e-02	  6.8229e-25	  5.0000e-02	  2.2204e-15	  2.0000e-01	
