         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	           K	          Ca	        m_KX	      m_CaX2	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           1	     6.99859	     11.2637	  9.8498e-02	  7.5081e-04	  3.9265e-01	  1.2174e-02	
           1	       react	           1	         -99	           0	           2	     6.99545	     11.2648	  9.5082e-02	  2.4592e-03	  3.7022e-01	  2.3391e-02	
           1	       react	           1	         -99	           0	           3	     6.99109	     11.2667	  9.0155e-02	  4.9226e-03	  3.4930e-01	  3.3852e-02	
           1	       react	           1	         -99	           0	           4	     6.98594	     11.2693	  8.4082e-02	  7.9589e-03	  3.2952e-01	  4.3741e-02	
           1	       react	           1	         -99	           0	           5	     6.98042	     11.2725	  7.7229e-02	  1.1386e-02	  3.1052e-01	  5.3239e-02	
           1	       react	           1	         -99	           0	           6	     6.97482	     11.2759	  6.9918e-02	  1.5041e-02	  2.9198e-01	  6.2509e-02	
           1	       react	           1	         -99	           0	           7	     6.96936	     11.2794	  6.2416e-02	  1.8792e-02	  2.7363e-01	  7.1683e-02	
           1	       react	           1	         -99	           0	           8	     6.96418	     11.1799	  5.4931e-02	  2.2534e-02	  2.5527e-01	  8.0866e-02	
           1	       react	           1	         -99	           0	           9	     6.95934	     11.1833	  4.7622e-02	  2.6189e-02	  2.3673e-01	  9.0136e-02	
           1	       react	           1	         -99	           0	          10	      6.9549	     11.1862	  4.0611e-02	  2.9695e-02	  2.1789e-01	  9.9555e-02	
           1	       react	           1	         -99	           0	          11	     6.95085	      11.189	  3.3988e-02	  3.3006e-02	  1.9866e-01	  1.0917e-01	
           1	       react	           1	         -99	           0	          12	     6.94722	     11.2952	  2.7821e-02	  3.6089e-02	  1.7898e-01	  1.1901e-01	
           1	       react	           1	         -99	           0	          13	     6.94398	     11.2977	  2.2164e-02	  3.8918e-02	  1.5879e-01	  1.2911e-01	
           1	       react	           1	         -99	           0	          14	     6.94113	        11.3	  1.7054e-02	  4.1473e-02	  1.3805e-01	  1.3948e-01	
           1	       react	           1	         -99	           0	          15	     6.93867	     11.3017	  1.2525e-02	  4.3738e-02	  1.1673e-01	  1.5014e-01	
           1	       react	           1	         -99	           0	          16	     6.93658	     11.3038	  8.6043e-03	  4.5698e-02	  9.4796e-02	  1.6110e-01	
           1	       react	           1	         -99	           0	          17	     6.93486	     11.2022	  5.3237e-03	  4.7338e-02	  7.2226e-02	  1.7239e-01	
           1	       react	           1	         -99	           0	          18	     6.93352	     11.1102	  2.7237e-03	  4.8638e-02	  4.8976e-02	  1.8401e-01	
           1	       react	           1	         -99	           0	          19	     6.93257	     10.9937	  8.7703e-04	  4.9561e-02	  2.4973e-02	  1.9601e-01	
           1	       react	           1	         -99	           0	          20	     6.93212	     10.9937	  6.1225e-25	  5.0000e-02	  2.1649e-15	  2.0850e-01	
