         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	           K	          Ca	        m_K+	      m_Ca+2	        m_KX	      m_CaX2	       m_NaX	
           1	       react	           1	         -99	           0	           1	           7	     10.6413	  1.5413e-01	  0.0000e+00	  1.5413e-01	  0.0000e+00	  3.4587e-01	  0.0000e+00	  1.5413e-01
           1	       react	           1	         -99	           0	           1	     7.00958	     10.6871	  1.4633e-01	  3.9569e-03	  1.4633e-01	  3.9569e-03	  3.2867e-01	  8.5431e-03	  1.5424e-01
           1	       react	           1	         -99	           0	           1	     7.01624	     11.2453	  1.3653e-01	  1.0038e-02	  1.3653e-01	  1.0038e-02	  3.1347e-01	  1.4962e-02	  1.5661e-01
           1	       react	           1	         -99	           0	           1	     7.02159	      11.139	  1.2615e-01	  1.6927e-02	  1.2615e-01	  1.6927e-02	  2.9885e-01	  2.0573e-02	  1.6001e-01
           1	       react	           1	         -99	           0	           1	      7.0261	    -1.61003	  1.1562e-01	  2.4259e-02	  1.1562e-01	  2.4259e-02	  2.8438e-01	  2.5741e-02	  1.6414e-01
           1	       react	           1	         -99	           0	           1	     7.03002	     11.0238	  1.0515e-01	  3.1863e-02	  1.0515e-01	  3.1863e-02	  2.6985e-01	  3.0637e-02	  1.6888e-01
           1	       react	           1	         -99	           0	           1	      7.0335	    -1.26172	  9.4872e-02	  3.9648e-02	  9.4872e-02	  3.9648e-02	  2.5513e-01	  3.5352e-02	  1.7417e-01
           1	       react	           1	         -99	           0	           1	     7.03664	   -0.989861	  8.4874e-02	  4.7559e-02	  8.4874e-02	  4.7559e-02	  2.4013e-01	  3.9941e-02	  1.7999e-01
           1	       react	           1	         -99	           0	           1	     7.03949	    -1.50177	  7.5222e-02	  5.5568e-02	  7.5222e-02	  5.5568e-02	  2.2478e-01	  4.4432e-02	  1.8636e-01
           1	       react	           1	         -99	           0	           1	     7.04208	     10.8101	  6.5965e-02	  6.3664e-02	  6.5965e-02	  6.3664e-02	  2.0904e-01	  4.8836e-02	  1.9329e-01
           1	       react	           1	         -99	           0	           1	     7.04444	    -1.43497	  5.7140e-02	  7.1851e-02	  5.7140e-02	  7.1851e-02	  1.9286e-01	  5.3149e-02	  2.0084e-01
           1	       react	           1	         -99	           0	           1	     7.04657	    -1.61872	  4.8781e-02	  8.0150e-02	  4.8781e-02	  8.0150e-02	  1.7622e-01	  5.7350e-02	  2.0908e-01
           1	       react	           1	         -99	           0	           1	     7.04845	      11.223	  4.0913e-02	  8.8597e-02	  4.0913e-02	  8.8597e-02	  1.5909e-01	  6.1403e-02	  2.1811e-01
           1	       react	           1	         -99	           0	           1	     7.05005	     11.3238	  3.3563e-02	  9.7252e-02	  3.3563e-02	  9.7252e-02	  1.4144e-01	  6.5248e-02	  2.2807e-01
           1	       react	           1	         -99	           0	           1	     7.05131	     11.2143	  2.6753e-02	  1.0621e-01	  2.6753e-02	  1.0621e-01	  1.2325e-01	  6.8788e-02	  2.3918e-01
           1	       react	           1	         -99	           0	           1	     7.05213	     10.6149	  2.0512e-02	  1.1563e-01	  2.0512e-02	  1.1563e-01	  1.0449e-01	  7.1874e-02	  2.5176e-01
           1	       react	           1	         -99	           0	           1	     7.05235	     11.2132	  1.4870e-02	  1.2575e-01	  1.4870e-02	  1.2575e-01	  8.5130e-02	  7.4254e-02	  2.6636e-01
           1	       react	           1	         -99	           0	           1	     7.05164	     11.3253	  9.8717e-03	  1.3703e-01	  9.8717e-03	  1.3703e-01	  6.5128e-02	  7.5467e-02	  2.8394e-01
           1	       react	           1	         -99	           0	           1	     7.04936	     11.3241	  5.5851e-03	  1.5048e-01	  5.5851e-03	  1.5048e-01	  4.4415e-02	  7.4524e-02	  3.0654e-01
           1	       react	           1	         -99	           0	           1	     7.04361	     10.5886	  2.1420e-03	  1.6898e-01	  2.1420e-03	  1.6898e-01	  2.2858e-02	  6.8517e-02	  3.4011e-01
           1	       react	           1	         -99	           0	           1	           7	     10.8951	  0.0000e+00	  2.5000e-01	  0.0000e+00	  2.5000e-01	  0.0000e+00	  0.0000e+00	  5.0000e-01
