         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	          mu	      m_Ca+2	      m_Mg+2	        m_H+	     m_HCO3-	       m_NaX	      m_MgX2	      m_CaX2	     Calcite	   d_Calcite	    Dolomite	  d_Dolomite	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	      25.000	     5.25994	  1.9000e+00	  4.7996e-01	  1.4136e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           1	     4.02318	     17.4935	      25.000	     5.25864	  1.6748e+00	  6.8818e-01	  1.3402e-04	  8.8409e-03	  1.9782e-01	  8.2820e-02	  3.1945e-01	  1.0174e+01	  1.7403e-01	  9.5975e+00	 -4.0245e-01	
           1	       react	           1	         -99	           0	           2	      3.9698	     17.1395	      30.000	     5.26019	  1.7364e+00	  6.2888e-01	  1.5189e-04	  8.3437e-03	  1.9353e-01	  7.5297e-02	  3.2907e-01	  1.0017e+01	  1.7359e-02	  9.6785e+00	 -3.2149e-01	
           1	       react	           1	         -99	           0	           3	     3.92268	     16.7925	      35.000	     5.26182	  1.7843e+00	  5.8339e-01	  1.6971e-04	  7.8753e-03	  1.8959e-01	  6.9633e-02	  3.3666e-01	  9.8988e+00	 -1.0124e-01	  9.7404e+00	 -2.5963e-01	
           1	       react	           1	         -99	           0	           4	     3.88094	     16.4527	      40.000	     5.26365	  1.8202e+00	  5.4999e-01	  1.8731e-04	  7.4308e-03	  1.8595e-01	  6.5552e-02	  3.4252e-01	  9.8129e+00	 -1.8708e-01	  9.7858e+00	 -2.1418e-01	
           1	       react	           1	         -99	           0	           5	     3.84394	     16.1201	      45.000	     5.26565	  1.8456e+00	  5.2728e-01	  2.0451e-04	  7.0066e-03	  1.8258e-01	  6.2843e-02	  3.4686e-01	  9.7555e+00	 -2.4448e-01	  9.8171e+00	 -1.8294e-01	
           1	       react	           1	         -99	           0	           6	     3.81123	     15.7947	      50.000	     5.26774	  1.8615e+00	  5.1421e-01	  2.2112e-04	  6.6004e-03	  1.7945e-01	  6.1362e-02	  3.4987e-01	  9.7233e+00	 -2.7671e-01	  9.8357e+00	 -1.6432e-01	
           1	       react	           1	         -99	           0	           7	     3.78245	     15.4763	      55.000	     5.26983	  1.8683e+00	  5.1007e-01	  2.3696e-04	  6.2110e-03	  1.7655e-01	  6.1017e-02	  3.5162e-01	  9.7140e+00	 -2.8604e-01	  9.8428e+00	 -1.5724e-01	
           1	       react	           1	         -99	           0	           8	     3.75734	     15.1647	      60.000	      5.2718	  1.8665e+00	  5.1450e-01	  2.5182e-04	  5.8380e-03	  1.7386e-01	  6.1772e-02	  3.5217e-01	  9.7262e+00	 -2.7377e-01	  9.8389e+00	 -1.6111e-01	
           1	       react	           1	         -99	           0	           9	     3.73572	     14.8595	      65.000	     5.27354	  1.8558e+00	  5.2746e-01	  2.6551e-04	  5.4818e-03	  1.7138e-01	  6.3640e-02	  3.5150e-01	  9.7597e+00	 -2.4031e-01	  9.8242e+00	 -1.7577e-01	
           1	       react	           1	         -99	           0	          10	     3.71746	     14.5604	      70.000	     5.27495	  1.8360e+00	  5.4920e-01	  2.7780e-04	  5.1431e-03	  1.6910e-01	  6.6678e-02	  3.4957e-01	  9.8147e+00	 -1.8529e-01	  9.7985e+00	 -2.0148e-01	
           1	       react	           1	         -99	           0	          11	     3.70252	     14.2672	      75.000	     5.27595	  1.8065e+00	  5.8023e-01	  2.8849e-04	  4.8229e-03	  1.6703e-01	  7.0992e-02	  3.4627e-01	  9.8924e+00	 -1.0760e-01	  9.7612e+00	 -2.3883e-01	
           1	       react	           1	         -99	           0	          12	     3.69088	     13.9793	      80.000	     5.27645	  1.7663e+00	  6.2128e-01	  2.9736e-04	  4.5223e-03	  1.6517e-01	  7.6732e-02	  3.4143e-01	  9.9945e+00	 -5.4742e-03	  9.7113e+00	 -2.8875e-01	
           1	       react	           1	         -99	           0	          13	     3.68263	     13.6964	      85.000	     5.27638	  1.7146e+00	  6.7327e-01	  3.0415e-04	  4.2426e-03	  1.6353e-01	  8.4096e-02	  3.3488e-01	  1.0123e+01	  1.2335e-01	  9.6476e+00	 -3.5241e-01	
           1	       react	           1	         -99	           0	          14	     3.67792	      13.418	      90.000	      5.2757	  1.6503e+00	  7.3719e-01	  3.0860e-04	  3.9851e-03	  1.6211e-01	  9.3320e-02	  3.2636e-01	  1.0281e+01	  2.8142e-01	  9.5689e+00	 -4.3113e-01	
