         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	          mu	      m_Ca+2	      m_Mg+2	        m_H+	     m_HCO3-	     Calcite	   d_Calcite	    Dolomite	  d_Dolomite	
           2	      i_soln	           1	         -99	         -99	         -99	           7	           4	      25.000	    0.675283	  9.6534e-03	  4.7660e-02	  1.3232e-07	  1.7831e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           2	       react	           1	         -99	           0	           1	     6.87696	    -1.45271	      25.000	    0.678226	  3.5762e-02	  2.2426e-02	  1.7569e-07	  1.7092e-03	  9.9420e+00	 -5.7991e-02	  1.0029e+01	  2.9026e-02	
           2	       react	           1	         -99	           0	           2	      6.8033	    -1.39028	      30.000	    0.677286	  3.7308e-02	  2.0664e-02	  2.0856e-07	  1.6676e-03	  9.9385e+00	 -6.1459e-02	  1.0031e+01	  3.0773e-02	
           2	       react	           1	         -99	           0	           3	     6.73729	    -1.33311	      35.000	    0.676422	  3.8489e-02	  1.9282e-02	  2.4329e-07	  1.6260e-03	  9.9359e+00	 -6.4100e-02	  1.0032e+01	  3.2106e-02	
           2	       react	           1	         -99	           0	           4	     6.67788	    -1.28167	      40.000	    0.675608	  3.9336e-02	  1.8245e-02	  2.7953e-07	  1.5841e-03	  9.9340e+00	 -6.5978e-02	  1.0033e+01	  3.3058e-02	
           2	       react	           1	         -99	           0	           5	     6.62429	     -2.0118	      45.000	    0.674817	  3.9874e-02	  1.7518e-02	  3.1694e-07	  1.5418e-03	  9.9328e+00	 -6.7151e-02	  1.0034e+01	  3.3658e-02	
           2	       react	           1	         -99	           0	           6	     6.57595	    -1.19939	      50.000	    0.674026	  4.0125e-02	  1.7074e-02	  3.5507e-07	  1.4990e-03	  9.9323e+00	 -6.7663e-02	  1.0034e+01	  3.3928e-02	
           2	       react	           1	         -99	           0	           7	     6.53246	    -1.16329	      55.000	    0.673211	  4.0101e-02	  1.6893e-02	  3.9341e-07	  1.4556e-03	  9.9325e+00	 -6.7546e-02	  1.0034e+01	  3.3883e-02	
           2	       react	           1	         -99	           0	           8	     6.49356	    -1.13402	      60.000	    0.672351	  3.9809e-02	  1.6961e-02	  4.3134e-07	  1.4116e-03	  9.9332e+00	 -6.6815e-02	  1.0034e+01	  3.3532e-02	
           2	       react	           1	         -99	           0	           9	     6.45909	    -1.10598	      65.000	    0.671422	  3.9250e-02	  1.7270e-02	  4.6817e-07	  1.3672e-03	  9.9345e+00	 -6.5474e-02	  1.0033e+01	  3.2875e-02	
           2	       react	           1	         -99	           0	          10	     6.42899	    -1.08317	      70.000	    0.670402	  3.8420e-02	  1.7819e-02	  5.0310e-07	  1.3228e-03	  9.9365e+00	 -6.3517e-02	  1.0032e+01	  3.1910e-02	
           2	       react	           1	         -99	           0	          11	     6.40327	    -1.06645	      75.000	    0.669273	  3.7310e-02	  1.8609e-02	  5.3526e-07	  1.2788e-03	  9.9391e+00	 -6.0929e-02	  1.0031e+01	  3.0629e-02	
           2	       react	           1	         -99	           0	          12	     6.38203	    -1.05209	      80.000	    0.668017	  3.5913e-02	  1.9644e-02	  5.6369e-07	  1.2357e-03	  9.9423e+00	 -5.7698e-02	  1.0029e+01	  2.9026e-02	
           2	       react	           1	         -99	           0	          13	     6.36541	    -1.04629	      85.000	    0.666622	  3.4220e-02	  2.0927e-02	  5.8737e-07	  1.1942e-03	  9.9462e+00	 -5.3817e-02	  1.0027e+01	  2.7097e-02	
           2	       react	           1	         -99	           0	          14	     6.35365	    -1.03994	      90.000	    0.665085	  3.2234e-02	  2.2457e-02	  6.0531e-07	  1.1552e-03	  9.9507e+00	 -4.9294e-02	  1.0025e+01	  2.4845e-02	
